16BBF41_ALL_LATEST,,,,,,,,,,,,,,,
IND_ID,IND_CODE,IND_UUID,IND_PER_CODE,DIM_TIME,DIM_TIME_TYPE,DIM_GEO_CODE_M49,DIM_GEO_CODE_TYPE,DIM_PUBLISH_STATE_CODE,IND_NAME,GEO_NAME_SHORT,DIM_SEX,DIM_AGE,RATE_PER_100000_N,RATE_PER_100000_NL,RATE_PER_100000_NU
16BBF41SDGSUICIDE,SDGSUICIDE,16BBF41,SDGSUICIDE,2019,YEAR,1,GLOBAL,PUBLISHED,Suicide deaths,World,MALE,TOTAL,12.5785,9.1,17.3277
16BBF41SDGSUICIDE,SDGSUICIDE,16BBF41,SDGSUICIDE,2019,YEAR,1,GLOBAL,PUBLISHED,Suicide deaths,World,FEMALE,TOTAL,5.68,4.29,7.75
16BBF41SDGSUICIDE,SDGSUICIDE,16BBF41,SDGSUICIDE,2019,YEAR,1,GLOBAL,PUBLISHED,Suicide deaths,World,TOTAL,TOTAL,9.16,6.72,12.5786
16BBF41SDGSUICIDE,SDGSUICIDE,16BBF41,SDGSUICIDE,2018,YEAR,1,GLOBAL,PUBLISHED,Suicide deaths,World,MALE,TOTAL,12.7486,9.36,17.2185
16BBF41SDGSUICIDE,SDGSUICIDE,16BBF41,SDGSUICIDE,2018,YEAR,1,GLOBAL,PUBLISHED,Suicide deaths,World,FEMALE,TOTAL,5.72,4.41,7.62
16BBF41SDGSUICIDE,SDGSUICIDE,16BBF41,SDGSUICIDE,2018,YEAR,1,GLOBAL,PUBLISHED,Suicide deaths,World,TOTAL,TOTAL,9.26,6.91,12.4595
16BBF41SDGSUICIDE,SDGSUICIDE,16BBF41,SDGSUICIDE,2017,YEAR,1,GLOBAL,PUBLISHED,Suicide deaths,World,FEMALE,TOTAL,5.65,4.45,7.46
16BBF41SDGSUICIDE,SDGSUICIDE,16BBF41,SDGSUICIDE,2017,YEAR,1,GLOBAL,PUBLISHED,Suicide deaths,World,MALE,TOTAL,12.7665,9.58,17.0772
16BBF41SDGSUICIDE,SDGSUICIDE,16BBF41,SDGSUICIDE,2017,YEAR,1,GLOBAL,PUBLISHED,Suicide deaths,World,TOTAL,TOTAL,9.24,7.04,12.3114
16BBF41SDGSUICIDE,SDGSUICIDE,16BBF41,SDGSUICIDE,2016,YEAR,1,GLOBAL,PUBLISHED,Suicide deaths,World,TOTAL,TOTAL,9.32,7.2,12.1896
16BBF41SDGSUICIDE,SDGSUICIDE,16BBF41,SDGSUICIDE,2016,YEAR,1,GLOBAL,PUBLISHED,Suicide deaths,World,FEMALE,TOTAL,5.72,4.59,7.37
16BBF41SDGSUICIDE,SDGSUICIDE,16BBF41,SDGSUICIDE,2016,YEAR,1,GLOBAL,PUBLISHED,Suicide deaths,World,MALE,TOTAL,12.8563,9.76,16.9302
16BBF41SDGSUICIDE,SDGSUICIDE,16BBF41,SDGSUICIDE,2015,YEAR,1,GLOBAL,PUBLISHED,Suicide deaths,World,MALE,TOTAL,13.0141,9.99,16.9835
16BBF41SDGSUICIDE,SDGSUICIDE,16BBF41,SDGSUICIDE,2015,YEAR,1,GLOBAL,PUBLISHED,Suicide deaths,World,FEMALE,TOTAL,5.86,4.76,7.4
16BBF41SDGSUICIDE,SDGSUICIDE,16BBF41,SDGSUICIDE,2015,YEAR,1,GLOBAL,PUBLISHED,Suicide deaths,World,TOTAL,TOTAL,9.46575,7.4,12.2314
16BBF41SDGSUICIDE,SDGSUICIDE,16BBF41,SDGSUICIDE,2014,YEAR,1,GLOBAL,PUBLISHED,Suicide deaths,World,MALE,TOTAL,13.3632,10.2969,17.2333
16BBF41SDGSUICIDE,SDGSUICIDE,16BBF41,SDGSUICIDE,2014,YEAR,1,GLOBAL,PUBLISHED,Suicide deaths,World,TOTAL,TOTAL,9.71,7.62,12.4437
16BBF41SDGSUICIDE,SDGSUICIDE,16BBF41,SDGSUICIDE,2014,YEAR,1,GLOBAL,PUBLISHED,Suicide deaths,World,FEMALE,TOTAL,5.99,4.9,7.57
16BBF41SDGSUICIDE,SDGSUICIDE,16BBF41,SDGSUICIDE,2013,YEAR,1,GLOBAL,PUBLISHED,Suicide deaths,World,MALE,TOTAL,13.6699,10.5668,17.6716
16BBF41SDGSUICIDE,SDGSUICIDE,16BBF41,SDGSUICIDE,2013,YEAR,1,GLOBAL,PUBLISHED,Suicide deaths,World,TOTAL,TOTAL,9.99,7.88,12.8055
16BBF41SDGSUICIDE,SDGSUICIDE,16BBF41,SDGSUICIDE,2013,YEAR,1,GLOBAL,PUBLISHED,Suicide deaths,World,FEMALE,TOTAL,6.24,5.15,7.86
16BBF41SDGSUICIDE,SDGSUICIDE,16BBF41,SDGSUICIDE,2012,YEAR,1,GLOBAL,PUBLISHED,Suicide deaths,World,MALE,TOTAL,13.9903,10.802,17.9459
16BBF41SDGSUICIDE,SDGSUICIDE,16BBF41,SDGSUICIDE,2012,YEAR,1,GLOBAL,PUBLISHED,Suicide deaths,World,FEMALE,TOTAL,6.46,5.35,8.01
16BBF41SDGSUICIDE,SDGSUICIDE,16BBF41,SDGSUICIDE,2012,YEAR,1,GLOBAL,PUBLISHED,Suicide deaths,World,TOTAL,TOTAL,10.2554,8.1,13.0226
16BBF41SDGSUICIDE,SDGSUICIDE,16BBF41,SDGSUICIDE,2011,YEAR,1,GLOBAL,PUBLISHED,Suicide deaths,World,FEMALE,TOTAL,6.79,5.63,8.57
16BBF41SDGSUICIDE,SDGSUICIDE,16BBF41,SDGSUICIDE,2011,YEAR,1,GLOBAL,PUBLISHED,Suicide deaths,World,MALE,TOTAL,14.3052,11.0853,18.3718
16BBF41SDGSUICIDE,SDGSUICIDE,16BBF41,SDGSUICIDE,2011,YEAR,1,GLOBAL,PUBLISHED,Suicide deaths,World,TOTAL,TOTAL,10.5783,8.38,13.5131
16BBF41SDGSUICIDE,SDGSUICIDE,16BBF41,SDGSUICIDE,2010,YEAR,1,GLOBAL,PUBLISHED,Suicide deaths,World,TOTAL,TOTAL,10.8136,8.61,13.6456
16BBF41SDGSUICIDE,SDGSUICIDE,16BBF41,SDGSUICIDE,2010,YEAR,1,GLOBAL,PUBLISHED,Suicide deaths,World,FEMALE,TOTAL,6.98,5.8,8.64
16BBF41SDGSUICIDE,SDGSUICIDE,16BBF41,SDGSUICIDE,2010,YEAR,1,GLOBAL,PUBLISHED,Suicide deaths,World,MALE,TOTAL,14.5819,11.3672,18.5688
